metadata_index,composer,title,piece_id,performance_path,score_path,file_exists,file_size_bytes,tokenization_success,error_type,error_message,num_raw_notes,num_normalized_notes,num_tokens,num_raw_cc64_events,num_pedal_tokens,num_pedal_zero,num_pedal_full,num_pedal_intermediate,pedal_zero_ratio,pedal_full_ratio,pedal_intermediate_ratio,pedal1_intermediate_ratio,pedal2_intermediate_ratio,pedal3_intermediate_ratio,pedal4_intermediate_ratio,max_sequence_tokens,requires_4096_token_windowing
31,Bach,Fugue_bwv_863,piece_023ccee6f631dbef,Bach/Fugue/bwv_863/LeeN01M.mid,Bach/Fugue/bwv_863/midi_score.mid,True,11246,True,,,792,792,6336,1639,3168,1989,247,932,0.6278409090909091,0.07796717171717171,0.29419191919191917,0.33080808080808083,0.2777777777777778,0.2815656565656566,0.2866161616161616,6336,True
32,Bach,Fugue_bwv_863,piece_023ccee6f631dbef,Bach/Fugue/bwv_863/Shychko01M.mid,Bach/Fugue/bwv_863/midi_score.mid,True,12423,True,,,799,799,6392,1579,3196,133,262,2801,0.041614518147684604,0.08197747183979975,0.8764080100125157,0.8785982478097623,0.8811013767209012,0.8785982478097623,0.867334167709637,6392,True
33,Bach,Fugue_bwv_863,piece_023ccee6f631dbef,Bach/Fugue/bwv_863/TongB01M.mid,Bach/Fugue/bwv_863/midi_score.mid,True,21049,True,,,803,803,6424,4618,3212,214,13,2985,0.06662515566625156,0.004047322540473225,0.9293275217932753,0.933997509339975,0.900373599003736,0.9352428393524284,0.9476961394769614,6424,True
34,Bach,Fugue_bwv_864,piece_8ced86fd9478a1c7,Bach/Fugue/bwv_864/SunD01M.mid,Bach/Fugue/bwv_864/midi_score.mid,True,10398,True,,,1188,1188,9504,756,4752,2133,10,2609,0.44886363636363635,0.0021043771043771043,0.5490319865319865,0.5471380471380471,0.5488215488215489,0.5496632996632996,0.5505050505050505,9504,True
35,Bach,Fugue_bwv_865,piece_34e87ec013c87f4e,Bach/Fugue/bwv_865/Rizikov01M.mid,Bach/Fugue/bwv_865/midi_score.mid,True,33665,True,,,2398,2398,19184,5131,9592,1069,438,8085,0.11144703919933278,0.04566305254378649,0.8428899082568807,0.8436196830692243,0.8498748957464554,0.841117597998332,0.8369474562135113,19184,True
36,Bach,Fugue_bwv_865,piece_34e87ec013c87f4e,Bach/Fugue/bwv_865/Teo01M.mid,Bach/Fugue/bwv_865/midi_score.mid,True,24053,True,,,2456,2456,19648,2374,9824,7193,127,2504,0.7321864820846905,0.012927524429967427,0.254885993485342,0.2552931596091205,0.25732899022801303,0.25651465798045603,0.2504071661237785,19648,True
37,Bach,Fugue_bwv_865,piece_34e87ec013c87f4e,Bach/Fugue/bwv_865/ZhangE01M.mid,Bach/Fugue/bwv_865/midi_score.mid,True,20281,True,,,2402,2402,19216,1494,9608,8362,139,1107,0.8703164029975021,0.014467110741049125,0.11521648626144879,0.10990840965861781,0.11948376353039133,0.11948376353039133,0.11199000832639468,19216,True
38,Bach,Fugue_bwv_866,piece_ff5b87b8e13622db,Bach/Fugue/bwv_866/SOLOM02.mid,Bach/Fugue/bwv_866/midi_score.mid,True,8869,True,,,946,946,7568,239,3784,3613,2,169,0.9548097251585623,0.0005285412262156448,0.04466173361522199,0.03805496828752643,0.05391120507399577,0.0507399577167019,0.035940803382663845,7568,True
39,Bach,Fugue_bwv_867,piece_182456f2214312df,Bach/Fugue/bwv_867/HuNY01M.mid,Bach/Fugue/bwv_867/midi_score.mid,True,11658,True,,,747,747,5976,1939,2988,1172,768,1048,0.392235609103079,0.2570281124497992,0.3507362784471218,0.36947791164658633,0.3427041499330656,0.3386880856760375,0.35207496653279785,5976,True
40,Bach,Fugue_bwv_867,piece_182456f2214312df,Bach/Fugue/bwv_867/Sham01M.mid,Bach/Fugue/bwv_867/midi_score.mid,True,8230,True,,,739,739,5912,993,2956,1187,307,1462,0.40155615696887687,0.10385656292286874,0.4945872801082544,0.4857916102841678,0.5074424898511503,0.5006765899864682,0.4844384303112314,5912,True
41,Bach,Fugue_bwv_868,piece_b7d3ae5b13624524,Bach/Fugue/bwv_868/GonzalezJ05M.mid,Bach/Fugue/bwv_868/midi_score.mid,True,11119,True,,,872,872,6976,1376,3488,2606,76,806,0.7471330275229358,0.021788990825688075,0.23107798165137614,0.23279816513761467,0.21444954128440366,0.22821100917431192,0.24885321100917432,6976,True
42,Bach,Fugue_bwv_870,piece_a4ad7b65a28a3523,Bach/Fugue/bwv_870/ChenW01M.mid,Bach/Fugue/bwv_870/midi_score.mid,True,6563,True,,,1070,1070,8560,0,4280,4280,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8560,True
43,Bach,Fugue_bwv_870,piece_a4ad7b65a28a3523,Bach/Fugue/bwv_870/LeeE01M.mid,Bach/Fugue/bwv_870/midi_score.mid,True,7657,True,,,1049,1049,8392,295,4196,45,11,4140,0.010724499523355576,0.002621544327931363,0.9866539561487131,0.988560533841754,0.9866539561487131,0.9866539561487131,0.9847473784556721,8392,True
44,Bach,Fugue_bwv_870,piece_a4ad7b65a28a3523,Bach/Fugue/bwv_870/MaximovI01M.mid,Bach/Fugue/bwv_870/midi_score.mid,True,7616,True,,,1092,1092,8736,80,4368,4305,31,32,0.9855769230769231,0.007097069597069597,0.007326007326007326,0.007326007326007326,0.005494505494505495,0.007326007326007326,0.009157509157509158,8736,True
45,Bach,Fugue_bwv_873,piece_e75a4fd92837f60c,Bach/Fugue/bwv_873/Lisiecki02.mid,Bach/Fugue/bwv_873/midi_score.mid,True,17631,True,,,1385,1385,11080,593,5540,4858,0,682,0.8768953068592058,0.0,0.12310469314079422,0.12057761732851986,0.1256317689530686,0.12274368231046931,0.12346570397111914,11080,True
46,Bach,Fugue_bwv_873,piece_e75a4fd92837f60c,Bach/Fugue/bwv_873/Lisiecki13M.mid,Bach/Fugue/bwv_873/midi_score.mid,True,10627,True,,,1380,1380,11040,350,5520,5123,0,397,0.9280797101449275,0.0,0.07192028985507247,0.0746376811594203,0.07101449275362319,0.07101449275362319,0.07101449275362319,11040,True
47,Bach,Fugue_bwv_874,piece_fb58ccb173903f1f,Bach/Fugue/bwv_874/BianF01.mid,Bach/Fugue/bwv_874/midi_score.mid,True,27259,True,,,867,867,6936,4973,3468,754,22,2692,0.2174163783160323,0.006343713956170703,0.776239907727797,0.7935409457900807,0.7277970011534025,0.7912341407151096,0.7923875432525952,6936,True
48,Bach,Fugue_bwv_874,piece_fb58ccb173903f1f,Bach/Fugue/bwv_874/Kurz01M.mid,Bach/Fugue/bwv_874/midi_score.mid,True,15461,True,,,872,872,6976,2825,3488,51,46,3391,0.014621559633027524,0.013188073394495414,0.9721903669724771,0.9736238532110092,0.9782110091743119,0.9724770642201835,0.9644495412844036,6976,True
49,Bach,Fugue_bwv_874,piece_fb58ccb173903f1f,Bach/Fugue/bwv_874/WongWY01M.mid,Bach/Fugue/bwv_874/midi_score.mid,True,19340,True,,,867,867,6936,3649,3468,486,221,2761,0.14013840830449828,0.06372549019607843,0.7961361014994233,0.7993079584775087,0.7912341407151096,0.81199538638985,0.7820069204152249,6936,True
50,Bach,Fugue_bwv_875,piece_8288aa3742885356,Bach/Fugue/bwv_875/Ahfat01M.mid,Bach/Fugue/bwv_875/midi_score.mid,True,10879,True,,,806,806,6448,1596,3224,98,61,3065,0.030397022332506202,0.01892059553349876,0.950682382133995,0.9466501240694789,0.9528535980148883,0.9528535980148883,0.9503722084367245,6448,True
51,Bach,Fugue_bwv_875,piece_8288aa3742885356,Bach/Fugue/bwv_875/CaoJ01M.mid,Bach/Fugue/bwv_875/midi_score.mid,True,5350,True,,,799,799,6392,31,3196,3169,4,23,0.9915519399249061,0.0012515644555694619,0.0071964956195244055,0.007509386733416771,0.008760951188986232,0.006257822277847309,0.006257822277847309,6392,True
52,Bach,Fugue_bwv_876,piece_a167685be68feec2,Bach/Fugue/bwv_876/SirajA01M.mid,Bach/Fugue/bwv_876/midi_score.mid,True,10765,True,,,691,691,5528,1759,2764,1486,28,1250,0.5376266280752533,0.010130246020260492,0.45224312590448623,0.45007235890014474,0.4196816208393632,0.467438494934877,0.4717800289435601,5528,True
53,Bach,Fugue_bwv_876,piece_a167685be68feec2,Bach/Fugue/bwv_876/Song01M.mid,Bach/Fugue/bwv_876/midi_score.mid,True,6373,True,,,704,704,5632,469,2816,9,41,2766,0.0031960227272727275,0.01455965909090909,0.9822443181818182,0.9829545454545454,0.9801136363636364,0.9815340909090909,0.984375,5632,True
54,Bach,Fugue_bwv_880,piece_26821ce443911314,Bach/Fugue/bwv_880/LeungR01M.mid,Bach/Fugue/bwv_880/midi_score.mid,True,10501,True,,,984,984,7872,200,3936,421,17,3498,0.10696138211382114,0.004319105691056911,0.8887195121951219,0.8882113821138211,0.8892276422764228,0.8871951219512195,0.8902439024390244,7872,True
55,Bach,Fugue_bwv_880,piece_26821ce443911314,Bach/Fugue/bwv_880/Sun02.mid,Bach/Fugue/bwv_880/midi_score.mid,True,10838,True,,,982,982,7856,146,3928,3707,47,174,0.9437372708757638,0.011965376782077392,0.04429735234215886,0.04378818737270876,0.04378818737270876,0.04378818737270876,0.045824847250509164,7856,True
56,Bach,Fugue_bwv_880,piece_26821ce443911314,Bach/Fugue/bwv_880/WangA04M.mid,Bach/Fugue/bwv_880/midi_score.mid,True,6092,True,,,975,975,7800,38,3900,3862,0,38,0.9902564102564102,0.0,0.009743589743589744,0.009230769230769232,0.010256410256410256,0.009230769230769232,0.010256410256410256,7800,True
57,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/GuoE01M.mid,Bach/Fugue/bwv_883/midi_score.mid,True,41893,True,,,1452,1452,11616,9596,5808,171,41,5596,0.029442148760330578,0.007059228650137741,0.9634986225895317,0.9655647382920111,0.9641873278236914,0.9628099173553719,0.9614325068870524,11616,True
58,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/Herbert02.mid,Bach/Fugue/bwv_883/midi_score.mid,True,12285,True,,,1450,1450,11600,0,5800,5800,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11600,True
59,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/KaiRuiR03.mid,Bach/Fugue/bwv_883/midi_score.mid,True,17603,True,,,1466,1466,11728,1286,5864,1106,11,4747,0.18860845839017734,0.0018758526603001365,0.8095156889495225,0.8096862210095498,0.810368349249659,0.8090040927694406,0.8090040927694406,11728,True
60,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/Khmara04.mid,Bach/Fugue/bwv_883/midi_score.mid,True,12402,True,,,1443,1443,11544,13,5772,15,0,5757,0.002598752598752599,0.0,0.9974012474012474,0.997920997920998,0.9972279972279973,0.9972279972279973,0.9972279972279973,11544,True
61,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/Lim01.mid,Bach/Fugue/bwv_883/midi_score.mid,True,17856,True,,,1428,1428,11424,734,5712,4186,10,1516,0.7328431372549019,0.0017507002801120449,0.265406162464986,0.2661064425770308,0.26260504201680673,0.265406162464986,0.26750700280112044,11424,True
62,Bach,Fugue_bwv_883,piece_e31f4b9d7e471762,Bach/Fugue/bwv_883/LuM01M.mid,Bach/Fugue/bwv_883/midi_score.mid,True,9633,True,,,1544,1544,12352,0,6176,6176,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12352,True
63,Bach,Fugue_bwv_884,piece_b792afc2177b46e8,Bach/Fugue/bwv_884/LiA01M.mid,Bach/Fugue/bwv_884/midi_score.mid,True,4556,True,,,745,745,5960,0,2980,2980,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5960,True
64,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/Chon02.mid,Bach/Fugue/bwv_885/midi_score.mid,True,19471,True,,,1642,1642,13136,1492,6568,3530,97,2941,0.5374543239951279,0.01476857490864799,0.4477771010962241,0.4531059683313033,0.4476248477466504,0.4457978075517661,0.4445797807551766,13136,True
65,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/Guo01M.mid,Bach/Fugue/bwv_885/midi_score.mid,True,10202,True,,,1676,1676,13408,0,6704,6704,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13408,True
66,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/Huang04M.mid,Bach/Fugue/bwv_885/midi_score.mid,True,18363,True,,,1659,1659,13272,2128,6636,4447,0,2189,0.6701326100060278,0.0,0.32986738999397225,0.323086196503918,0.32610006027727545,0.3351416515973478,0.3351416515973478,13272,True
67,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/JeonH01M.mid,Bach/Fugue/bwv_885/midi_score.mid,True,12442,True,,,1662,1662,13296,600,6648,5944,269,435,0.8941034897713598,0.0404632972322503,0.06543321299638989,0.06558363417569193,0.061371841155234655,0.06678700361010831,0.06799037304452467,13296,True
68,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/SINKEV01.mid,Bach/Fugue/bwv_885/midi_score.mid,True,15805,True,,,1664,1664,13312,401,6656,6259,71,326,0.9403545673076923,0.010667067307692308,0.048978365384615384,0.047475961538461536,0.047475961538461536,0.051682692307692304,0.04927884615384615,13312,True
69,Bach,Fugue_bwv_885,piece_589f19bb9d7c23c3,Bach/Fugue/bwv_885/SINKEV06.mid,Bach/Fugue/bwv_885/midi_score.mid,True,16610,True,,,1671,1671,13368,643,6684,5946,138,600,0.8895870736086176,0.02064631956912029,0.08976660682226212,0.08737283064033513,0.08916816277678037,0.0921603830041891,0.09036505086774387,13368,True
70,Bach,Fugue_bwv_887,piece_5a7ace9adaa1dfd9,Bach/Fugue/bwv_887/LiYZ01M.mid,Bach/Fugue/bwv_887/midi_score.mid,True,30015,True,,,1588,1588,12704,5658,6352,182,711,5459,0.028652392947103273,0.11193324937027707,0.8594143576826196,0.8746851385390428,0.8746851385390428,0.8469773299748111,0.8413098236775819,12704,True
71,Bach,Fugue_bwv_888,piece_0965117795215b98,Bach/Fugue/bwv_888/ZhaoK01M.mid,Bach/Fugue/bwv_888/midi_score.mid,True,7746,True,,,768,768,6144,521,3072,429,28,2615,0.1396484375,0.009114583333333334,0.8512369791666666,0.8502604166666666,0.8528645833333334,0.8515625,0.8502604166666666,6144,True
72,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/Giesbrecht01M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,5586,True,,,838,838,6704,133,3352,3335,1,16,0.994928400954654,0.0002983293556085919,0.00477326968973747,0.003579952267303103,0.003579952267303103,0.0059665871121718375,0.0059665871121718375,6704,True
73,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/LiuY01M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,6097,True,,,848,848,6784,224,3392,3171,54,167,0.9348466981132075,0.015919811320754717,0.049233490566037735,0.055424528301886794,0.04834905660377359,0.04716981132075472,0.045990566037735846,6784,True
74,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/MunA01M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,6998,True,,,827,827,6616,364,3308,3016,0,292,0.9117291414752116,0.0,0.08827085852478839,0.07980652962515115,0.09673518742442563,0.08948004836759371,0.08706166868198308,6616,True
75,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/Wang01M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,7783,True,,,840,840,6720,698,3360,2265,19,1076,0.6741071428571429,0.005654761904761905,0.3202380952380952,0.3142857142857143,0.3261904761904762,0.32857142857142857,0.3119047619047619,6720,True
76,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/YangY02M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,8586,True,,,849,849,6792,871,3396,1730,120,1546,0.5094228504122497,0.0353356890459364,0.4552414605418139,0.45700824499411075,0.4558303886925795,0.4558303886925795,0.45229681978798586,6792,True
77,Bach,Fugue_bwv_889,piece_6502bfee44189192,Bach/Fugue/bwv_889/ZhangW02M.mid,Bach/Fugue/bwv_889/midi_score.mid,True,7395,True,,,830,830,6640,603,3320,2651,0,669,0.7984939759036145,0.0,0.20150602409638554,0.19879518072289157,0.20481927710843373,0.20240963855421687,0.2,6640,True
